Country,ITL,sex,extract_date,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95
England,Devon,persons,2023-11-01,8599,9877,10750,10667,11525,11861,12424,12844,13148,13545,13629,14627,14488,14152,14125,14068,13908,13469,15368,15444,16262,15396,14831,15091,15422,15133,15031,15175,14784,15286,15137,15778,16020,16289,15648,16169,15679,15734,15291,15205,15037,14981,15212,15385,15004,13868,13263,13824,14056,14826,15438,16163,17224,17114,17932,17741,18185,18504,18955,18982,18670,18369,17782,17505,17161,16612,16399,15772,14852,14991,15179,14642,14416,14379,15083,15319,17384,14414,12341,12369,11120,9934,7957,7687,7324,6749,6184,5374,4664,4030,3521,2923,2381,1974,1513,3721
England,Dorset and Somerset,female,2023-11-01,4758,5393,5929,5953,6144,6529,6870,7059,7230,7359,7451,7833,8068,7991,8032,8173,7890,7883,7396,7380,7115,6693,6725,7058,7155,7473,7484,7492,7495,8133,8301,8531,8798,9124,8989,9200,8861,8767,8986,8615,8570,8668,8774,8799,8361,7969,7667,7867,8096,8536,8698,9207,9982,9736,10057,10129,10353,10398,10735,10810,10664,10472,10365,9756,9815,9645,9389,8984,8561,9014,9029,8672,8819,8717,9073,9429,10599,8688,7326,7545,6889,6180,5087,5004,4760,4528,4195,3623,3251,2952,2535,2182,1907,1668,1280,3438
England,Dorset and Somerset,male,2023-11-01,4815,5901,6199,6250,6586,6725,7090,7476,7416,7633,7775,8224,8223,8471,8282,8638,8459,8161,7724,7501,7337,7039,6919,7155,7464,7708,8069,7739,7902,8329,8554,8655,8849,9204,9065,9322,9139,8959,9059,8764,9053,8864,9110,9096,8924,8308,7939,7903,8479,8551,8923,9343,9996,9770,10026,10243,10168,10429,10608,10637,10453,10510,10032,9657,9502,9043,8910,8670,8134,8183,8144,7786,8222,8011,8036,8270,9781,7816,6625,6533,6057,5316,4123,4001,3815,3578,3139,2746,2367,1903,1546,1338,1059,854,654,1268
England,Dorset and Somerset,persons,2023-11-01,9564,11280,12133,12207,12728,13289,13974,14523,14650,14992,15219,16023,16291,16464,16276,16826,16357,16048,15123,14884,14443,13774,13626,14178,14602,15206,15582,15236,15359,16457,16856,17165,17614,18365,18002,18524,18001,17741,18054,17380,17620,17529,17881,17898,17277,16242,15638,15777,16561,17109,17628,18537,19984,19487,20102,20372,20522,20827,21313,21435,21119,20987,20340,19417,19327,18682,18278,17667,16695,17241,17083,16503,17040,16735,17126,17699,20369,16496,13969,14075,12932,11481,9218,8995,8569,8109,7328,6374,5616,4854,4074,3521,2967,2523,1935,4708
England,East Anglia,female,2023-11-01,10360,11733,12241,12269,12976,13580,14183,14775,15229,15071,15431,16405,15795,15762,15709,15822,15507,14811,14664,14510,14053,14142,15205,15959,16225,16351,16923,16923,17506,17987,18339,18816,19309,19553,19359,19630,19253,18713,18604,18096,18015,17786,17679,17952,17235,15987,15825,15734,16336,16785,17296,18113,18811,18316,18550,18790,18807,18899,19163,19552,18672,18079,17624,17049,16610,16373,15849,15492,15014,15088,14821,14748,14337,14391,14968,15019,17739,14839,11993,12466,11047,10004,8259,8112,7939,7283,6675,5962,5254,4436,3954,3419,2972,2392,1968,4878
England,East Anglia,male,2023-11-01,10654,12214,12710,13288,13685,14409,14864,15613,15649,16008,16185,17015,17050,16541,16271,16674,16216,15863,15861,15399,14929,14864,15579,16069,16632,17338,17868,17844,18561,19324,19450,20390,20562,21081,20948,21150,20875,20366,20390,19841,19544,19107,19223,19607,18912,17437,16816,17191,17075,17618,18138,18625,19256,18534,19338,18947,18683,19137,19094,19093,18635,18256,17402,16561,16259,15823,15405,14475,13935,13835,13878,12975,13574,13314,13636,14094,15849,12914,11025,11112,9487,8797,6740,6588,6350,5964,5093,4362,3874,3085,2555,2096,1641,1360,903,1869
England,East Anglia,persons,2023-11-01,21012,23940,24992,25544,26645,28020,29058,30370,30890,31072,31611,33446,32841,32306,31985,32516,31728,30675,30538,29912,29021,28991,30779,32042,32771,33704,34777,34756,36067,37308,37772,39209,39821,40647,40350,40795,40139,39072,38967,37989,37569,36887,36882,37577,36171,33386,32613,32943,33395,34417,35398,36738,38069,36842,37883,37767,37498,38074,38245,38702,37273,36266,35029,33671,32839,32228,31247,29956,28946,28936,28674,27800,27914,27751,28584,29086,33577,27768,23022,23566,20508,18794,14986,14684,14286,13255,11772,10327,9146,7522,6513,5513,4605,3754,2869,6747
England,East Yorkshire and Northern Lincolnshire,female,2023-11-01,3848,4500,4413,4626,4805,5055,5185,5326,5588,5472,5814,5922,5758,5871,5702,5680,5555,5367,5232,4913,4550,4475,4819,4979,5228,5411,5691,5857,5986,6293,6339,6610,6732,6894,6536,6940,6794,6490,6629,6294,6176,5867,5921,6096,5725,5327,5039,5399,5586,5889,6097,6511,6913,6643,6976,7080,6892,7171,7031,7310,7225,7094,6828,6499,6360,6226,6028,5870,5555,5513,5445,5265,5143,5308,5205,5545,6398,5033,4129,4082,3784,3387,2866,2910,2766,2572,2325,2105,1793,1529,1335,1160,876,728,580,1401
England,East Yorkshire and Northern Lincolnshire,male,2023-11-01,4074,4578,4715,4905,5097,5271,5489,5726,5780,5777,5989,6318,6140,6004,5875,6088,5992,5755,5439,5401,4847,4916,5048,5244,5529,5651,6029,5974,6391,6434,6744,6995,7042,6984,6928,7060,6889,6990,6931,6523,6488,6380,6316,6337,6032,5592,5525,5871,5910,6087,6051,6754,7145,6871,7040,7150,7147,7147,7122,7338,7335,7133,6860,6588,6384,6211,5984,5744,5444,5322,5259,4969,5061,4947,4904,5088,5787,4690,3608,3654,3169,2774,2322,2173,2141,1991,1706,1459,1283,1018,822,607,531,359,286,473
England,East Yorkshire and Northern Lincolnshire,persons,2023-11-01,7927,9095,9126,9534,9908,10326,10686,11036,11377,11236,11779,12236,11898,11867,11591,11764,11544,11123,10674,10316,9405,9404,9863,10223,10762,11063,11726,11826,12405,12720,13062,13609,13769,13868,13448,14007,13657,13497,13587,12804,12690,12231,12239,12436,11752,10939,10592,11274,11494,11987,12140,13225,14025,13506,14021,14230,14036,14318,14139,14653,14562,14220,13693,13090,12744,12440,12025,11622,11000,10843,10690,10263,10235,10214,10108,10618,12171,9751,7736,7741,6949,6200,5189,5080,4908,4564,4032,3566,3077,2548,2158,1768,1407,1087,870,1874
